OrderNumber,Amount,Products
HKLZM51178,1,嫩牛五方
HKLZM51178,2,快乐儿童餐A
HKLZM51178,3,快乐儿童餐B
HKLZM51184,1,嫩牛五方
HKLZM51184,2,愤怒的汉堡套餐
HKLZM51184,3,小龙虾双人套餐
HKLZM51184,4,新春特餐
HKLZM51181,1,薯条
HKLZM51181,2,拿铁咖啡
HKLZM51181,3,榛果风味拿铁(热)
HKLZM51181,4,新春特餐
HKLZM51188,1,热辣香骨鸡
HKLZM51180,1,薯条
HKLZM51180,2,海苔岩烧大鸡腿饭
HKLZM51180,3,快乐儿童餐B
HKLZM51180,4,新春特餐
HKLZM51180,5,新奥尔良烤鸡腿堡
HKLZM51176,1,薯条
HKLZM51176,2,海苔岩烧大鸡腿饭
HKLZM51198,1,嫩牛五方
HKLZM51198,2,快乐儿童餐A
HKLZM51198,3,快乐儿童餐B
HKLZM51193,1,嫩牛五方
HKLZM51193,2,香辣鸡腿堡
HKLZM51194,1,嫩牛五方
HKLZM51194,2,香辣鸡腿堡
HKLZM51194,3,新春特餐
HKLZM51192,1,嫩牛五方
HKLZM51192,2,新春特餐
HKLZM51197,1,嫩牛五方
HKLZM51197,2,快乐儿童餐A
HKLZM51197,3,快乐儿童餐B
HKLZM51197,4,劲脆鸡腿堡
HKLZM51195,1,深海鳕鱼堡
HKLZM51195,2,小龙虾双人套餐
HKLZM51195,3,桃之恋乌龙茶
HKLZM51215,1,嫩牛五方
HKLZM51215,2,愤怒的汉堡套餐
HKLZM51216,1,嫩牛五方
HKLZM51216,2,香辣鸡腿堡
HKLZM51216,3,快乐儿童餐A
HKLZM51216,4,快乐儿童餐B
HKLZM51216,5,劲脆鸡腿堡
HKLZM51205,1,嫩牛五方
HKLZM51205,2,快乐儿童餐A
HKLZM51205,3,快乐儿童餐B
HKLZM51205,4,新春特餐
HKLZM51210,1,嫩牛五方
HKLZM51210,2,新春特餐
HKLZM51207,1,嫩牛五方
HKLZM51207,2,快乐儿童餐A
HKLZM51207,3,快乐儿童餐B
HKLZM51207,4,新春特餐
HKLZM51206,1,嫩牛五方
HKLZM51206,2,快乐儿童餐A
HKLZM51206,3,快乐儿童餐B
HKLZM51206,4,劲脆鸡腿堡
HKLZM51217,1,嫩牛五方
HKLZM51217,2,小龙虾双人套餐
HKLZM51217,3,愤怒的汉堡套餐
HKLZM51217,4,九龙金玉珍珠奶茶
HKLZM51218,1,九龙金玉乌龙奶茶
HKLZM51221,1,青金桔鲜果茶
HKLZM51221,2,劲脆鸡腿堡
HKLZM51221,3,恋桃乌龙茶
HKLZM51211,1,圣代（巧克力）
HKLZM51211,2,圣代（草莓）
HKLZM51203,1,薯条
HKLZM51203,2,海苔岩烧大鸡腿饭
HKLZM51203,3,快乐儿童餐B
HKLZM51204,1,薯条
HKLZM51209,4,葡式蛋挞
HKLZM51209,3,新春特餐
HKLZM51209,2,香辣鸡腿堡
HKLZM51209,1,九龙金玉乌龙奶茶
HKLZM51191,4,新春特餐
HKLZM51191,3,快乐儿童餐B
HKLZM51191,2,快乐儿童餐A
HKLZM51191,1,嫩牛五方
HKLZM51183,2,新奥尔良烤鸡腿堡
HKLZM51183,1,百事可乐
HKLZM51214,1,热辣香骨鸡
HKLZM51214,2,海苔岩烧大鸡腿饭
HKLZM51214,3,快乐儿童餐B
HKLZM51196,5,新奥尔良烤鸡腿堡
HKLZM51196,4,新春特餐
HKLZM51196,3,快乐儿童餐B
HKLZM51196,2,海苔岩烧大鸡腿饭
HKLZM51196,1,热辣香骨鸡
HKLZM51189,3,葡式蛋挞
HKLZM51189,2,新春特餐
HKLZM51189,1,薯条
HKLZM51190,3,吮指原味鸡
HKLZM51190,2,拿铁咖啡
HKLZM51190,1,百事可乐
HKLZM51238,1,嫩牛五方
HKLZM51237,1,嫩牛五方
HKLZM51237,2,快乐儿童餐A
HKLZM51237,3,快乐儿童餐B
HKLZM51237,4,新春特餐
HKLZM51239,1,嫩牛五方
HKLZM51239,2,小食拼盘
HKLZM51235,1,嫩牛五方
HKLZM51236,1,嫩牛五方
HKLZM51231,1,嫩牛五方
HKLZM51231,2,九龙金玉珍珠奶茶
HKLZM51230,1,嫩牛五方
HKLZM51230,2,香辣鸡腿堡
HKLZM51230,3,快乐儿童餐B
HKLZM51230,4,快乐儿童餐A
HKLZM51224,1,嫩牛五方
HKLZM51224,2,愤怒的汉堡套餐
HKLZM51228,1,嫩牛五方
HKLZM51228,2,快乐儿童餐B
HKLZM51228,3,快乐儿童餐A
HKLZM51228,4,小食拼盘
HKLZM51228,5,劲脆鸡腿堡
HKLZM51232,1,圣代（巧克力）
HKLZM51232,2,新春特餐
HKLZM51245,1,劲爆鸡米花(大/小)
HKLZM51245,2,新春特餐
HKLZM51245,3,劲脆鸡腿堡
HKLZM51199,4,快乐儿童餐B
HKLZM51199,3,劲脆鸡腿堡
HKLZM51199,2,海苔岩烧大鸡腿饭
HKLZM51199,1,热辣香骨鸡
HKLZM51220,1,热辣香骨鸡
HKLZM51220,2,海苔岩烧大鸡腿饭
HKLZM51219,1,上校鸡块
HKLZM51219,2,双层鸡排堡单人套餐
HKLZM51241,1,热辣香骨鸡
HKLZM51241,2,超值全家桶
HKLZM51241,3,九龙金玉珍珠奶茶
HKLZM51219,3,翅桶(10翅1桶)
HKLZM51208,1,薯条
HKLZM51200,2,新春特餐
HKLZM51200,1,青金桔鲜果茶
HKLZM51219,4,葡式蛋挞
HKLZM51219,5,新春特餐
HKLZM51208,2,新春特餐
HKLZM51212,1,青金桔鲜果茶
HKLZM51212,2,吮指原味鸡
HKLZM51212,3,拿铁咖啡
HKLZM51186,1,劲爆鸡米花(大/小)
HKLZM51182,2,新奥尔良烤鸡腿堡
HKLZM51182,1,百事可乐
HKLZM51179,4,土豆泥
HKLZM51179,3,拿铁咖啡
HKLZM51179,2,榛果风味拿铁(热)
HKLZM51179,1,薯条
HKLZM51187,2,超值全家桶
HKLZM51187,1,热辣香骨鸡
HKLZM51212,4,新春特餐
HKLZM51256,1,嫩牛五方
HKLZM51256,2,香辣鸡腿堡
HKLZM51247,1,嫩牛五方
HKLZM51247,2,快乐儿童餐B
HKLZM51247,3,快乐儿童餐A
HKLZM51249,1,嫩牛五方
HKLZM51249,2,快乐儿童餐A
HKLZM51249,3,快乐儿童餐B
HKLZM51251,1,薯条
HKLZM51259,1,劲爆鸡米花(大/小)
HKLZM51259,2,海苔岩烧大鸡腿饭
HKLZM51259,3,快乐儿童餐B
HKLZM51259,4,新春特餐
HKLZM51259,5,劲脆鸡腿堡
HKLZM51261,1,上校鸡块
HKLZM51261,2,恋桃乌龙茶
HKLZM51248,1,薯条
HKLZM51212,5,恋桃乌龙茶
HKLZM51225,3,劲脆鸡腿堡
HKLZM51252,3,九龙金玉珍珠奶茶
HKLZM51258,1,青金桔鲜果茶
HKLZM51258,2,新春特餐
HKLZM51225,1,百事可乐
HKLZM51225,2,恋桃乌龙茶
HKLZM51201,2,新春特餐
HKLZM51201,1,劲爆鸡米花(大/小)
HKLZM51202,2,恋桃乌龙茶
HKLZM51202,1,上校鸡块
HKLZM51243,1,热辣香骨鸡
HKLZM51242,1,青金桔鲜果茶
HKLZM51242,2,新春特餐
HKLZM51253,1,薯条
HKLZM51253,2,香甜粟米棒
HKLZM51242,3,芙蓉荟蔬汤
HKLZM51229,1,薯条
HKLZM51213,1,劲爆鸡米花(大/小)
HKLZM51260,1,劲爆鸡米花(大/小)
HKLZM51260,2,海苔岩烧大鸡腿饭
HKLZM51260,3,快乐儿童餐B
HKLZM51265,1,嫩牛五方
HKLZM51265,2,香辣鸡腿堡
HKLZM51265,3,新奥尔良烤鸡腿堡
HKLZM51265,4,劲脆鸡腿堡
HKLZM51264,1,嫩牛五方
HKLZM51264,2,小龙虾双人套餐
HKLZM51264,3,愤怒的汉堡套餐
HKLZM51264,4,香辣鸡腿堡
HKLZM51264,5,芙蓉荟蔬汤
HKLZM51262,1,嫩牛五方
HKLZM51262,2,快乐儿童餐A
HKLZM51262,3,快乐儿童餐B
HKLZM51262,4,恋桃乌龙茶
HKLZM51267,1,嫩牛五方
HKLZM51267,2,香辣鸡腿堡
HKLZM51267,3,快乐儿童餐A
HKLZM51267,4,快乐儿童餐B
HKLZM51267,5,新春特餐
HKLZM51267,6,葡式蛋挞
HKLZM51263,1,深海鳕鱼堡
HKLZM51263,2,小龙虾双人套餐
HKLZM51263,3,桃之恋乌龙茶
HKLZM51263,4,新春特餐
HKLZM51213,2,新春特餐
